time,x,y,theta,q1,q2,q3,q4
0.404,-0.0101602,0.363449,-0.326322,-0.886165,2.10581,0.539309,1.40103
0.406,-0.0103633,0.362879,-0.334438,-0.874708,2.10798,0.552478,1.39598
0.408,-0.0105665,0.36227,-0.342553,-0.86322,2.11008,0.565631,1.39085
0.41,-0.0107742,0.361647,-0.350893,-0.851418,2.11224,0.579151,1.38551
0.412,-0.0109859,0.361008,-0.359443,-0.839321,2.11445,0.59301,1.38
0.414,-0.0112016,0.360351,-0.36819,-0.826946,2.11671,0.607184,1.37434
0.416,-0.0114206,0.359675,-0.37712,-0.81415,2.11878,0.621645,1.36855
0.418,-0.0116403,0.358959,-0.386056,-0.80149,2.12107,0.636096,1.36268
0.42,-0.0118641,0.358224,-0.395193,-0.788549,2.12342,0.650871,1.35666
0.422,-0.0120881,0.357449,-0.404331,-0.775573,2.12567,0.665622,1.35056
0.424,-0.0123165,0.356656,-0.413685,-0.762305,2.128,0.680723,1.34429
0.426,-0.0125491,0.355842,-0.423239,-0.748765,2.13039,0.696142,1.33789
0.428,-0.0127823,0.354988,-0.432797,-0.735339,2.13297,0.711543,1.3314
0.43,-0.0130159,0.354094,-0.442355,-0.721877,2.13546,0.726916,1.32483
0.432,-0.0132543,0.353182,-0.452149,-0.708074,2.138,0.742676,1.31807
0.434,-0.0134973,0.35225,-0.46216,-0.69396,2.14058,0.758783,1.31115
0.436,-0.0137444,0.351295,-0.472368,-0.679563,2.14321,0.7752,1.30411
0.438,-0.013995,0.350316,-0.482756,-0.664758,2.14562,0.79189,1.29699
0.44,-0.014246,0.349297,-0.493143,-0.649917,2.14792,0.808545,1.2898
0.442,-0.0144979,0.348238,-0.503533,-0.635217,2.15047,0.825173,1.28251
0.444,-0.0147507,0.347138,-0.513925,-0.620644,2.15324,0.841773,1.27514
0.446,-0.0150043,0.345997,-0.52432,-0.606187,2.15622,0.858344,1.26769
0.448,-0.0152634,0.344837,-0.534972,-0.591327,2.15919,0.875344,1.26001
0.45,-0.0155277,0.343655,-0.545858,-0.576109,2.16217,0.892721,1.25217
0.452,-0.0157962,0.34245,-0.556949,-0.560434,2.1649,0.91042,1.24421
0.454,-0.0160685,0.341219,-0.568227,-0.544343,2.16739,0.928404,1.23618
0.456,-0.0163452,0.339961,-0.579686,-0.528033,2.16998,0.946664,1.22805
0.458,-0.0166228,0.338662,-0.591145,-0.511842,2.17278,0.96488,1.21985
0.46,-0.0169009,0.337323,-0.602601,-0.495622,2.17544,0.983044,1.21157
0.462,-0.0171801,0.335943,-0.614058,-0.479528,2.17834,1.00116,1.20322
0.464,-0.0174603,0.334523,-0.625515,-0.463547,2.18143,1.01924,1.19479
0.466,-0.0177414,0.333062,-0.636971,-0.44767,2.18471,1.03726,1.1863
0.468,-0.018028,0.331578,-0.648677,-0.431259,2.1877,1.0557,1.1776
0.47,-0.0183202,0.330069,-0.660615,-0.414512,2.19073,1.07453,1.16872
0.472,-0.0186175,0.328534,-0.672768,-0.397304,2.19347,1.09369,1.15964
0.474,-0.01892,0.326972,-0.685124,-0.37983,2.19628,1.11318,1.15037
0.476,-0.0192237,0.325369,-0.697477,-0.36247,2.1993,1.13261,1.14104
0.478,-0.0195285,0.323726,-0.709828,-0.345215,2.20249,1.15198,1.13165
0.48,-0.0198338,0.322042,-0.722175,-0.327946,2.20553,1.17127,1.12221
0.482,-0.0201398,0.320317,-0.734518,-0.310663,2.20843,1.1905,1.11273
0.484,-0.0204465,0.318551,-0.746836,-0.293551,2.2116,1.20973,1.10399
0.486,-0.02076,0.316759,-0.759408,-0.276065,2.2148,1.22934,1.09563
0.488,-0.0210796,0.31494,-0.772205,-0.258249,2.21803,1.24927,1.08757
0.49,-0.021405,0.313093,-0.785205,-0.240143,2.22127,1.26948,1.07978
0.492,-0.0217358,0.311215,-0.798391,-0.221771,2.22452,1.28995,1.0722
0.494,-0.022067,0.309297,-0.811559,-0.203424,2.22762,1.31036,1.06497
0.496,-0.0223987,0.307338,-0.824711,-0.185101,2.23057,1.33073,1.05805
0.498,-0.022731,0.305337,-0.837848,-0.166805,2.23338,1.35104,1.05141
0.5,-0.0230643,0.303296,-0.850971,-0.148657,2.2365,1.3713,1.04503
0.502,-0.0233988,0.301213,-0.86408,-0.130645,2.23989,1.39149,1.03887
0.504,-0.0237415,0.299104,-0.877461,-0.112229,2.24329,1.41206,1.03254
0.506,-0.0240916,0.296968,-0.891083,-0.093459,2.24668,1.43295,1.02608
0.508,-0.0244486,0.294802,-0.904925,-0.0743723,2.25008,1.45412,1.0195
0.51,-0.0248123,0.292607,-0.918969,-0.0549975,2.25346,1.47554,1.0128
0.512,-0.0251823,0.290381,-0.9332,-0.0353609,2.25682,1.4972,1.006
0.514,-0.0255531,0.288114,-0.947418,-0.015764,2.26003,1.51876,0.999393
0.516,-0.0259248,0.285807,-0.96163,0.00380123,2.26309,1.5402,0.992827
0.518,-0.026298,0.28346,-0.975835,0.0232516,2.26638,1.56153,0.986305
0.52,-0.0266726,0.281071,-0.990033,0.0425918,2.26989,1.58275,0.979834
0.522,-0.0270486,0.278642,-1.00422,0.0618264,2.27358,1.60385,0.973422
0.524,-0.0274334,0.276186,-1.01868,0.0815558,2.27689,1.62535,0.96663
0.526,-0.0278273,0.273702,-1.03339,0.10163,2.28021,1.64722,0.95949
0.528,-0.0282298,0.271189,-1.04834,0.122018,2.28351,1.66941,0.952033
0.53,-0.0286401,0.268646,-1.06349,0.142779,2.28647,1.69188,0.944286
0.532,-0.0290584,0.266073,-1.07885,0.163778,2.28948,1.71461,0.936276
0.534,-0.0294784,0.263459,-1.0942,0.184647,2.29271,1.7372,0.928371
0.536,-0.0299,0.260804,-1.10954,0.205387,2.29613,1.75965,0.920578
0.538,-0.0303228,0.258109,-1.12488,0.226058,2.29941,1.78196,0.912905
0.54,-0.0307467,0.255373,-1.14019,0.24657,2.30294,1.80416,0.905788
0.542,-0.0311814,0.252609,-1.15576,0.267435,2.30643,1.82671,0.898703
0.544,-0.0316265,0.249817,-1.17159,0.288616,2.30989,1.84956,0.89166
0.546,-0.0320811,0.246996,-1.18765,0.310165,2.31297,1.87267,0.884654
0.548,-0.0325456,0.244145,-1.20393,0.331963,2.31608,1.89603,0.877681
0.55,-0.0330198,0.241264,-1.22042,0.353989,2.31921,1.9196,0.87074
0.552,-0.0335035,0.238352,-1.23711,0.376224,2.32235,1.94337,0.863831
0.554,-0.0339884,0.2354,-1.25379,0.398335,2.32538,1.96697,0.85731
0.556,-0.0344751,0.232407,-1.27046,0.420282,2.32865,1.99042,0.851162
0.558,-0.0349637,0.229374,-1.28711,0.442076,2.33215,2.01369,0.845228
0.56,-0.0354657,0.226314,-1.30405,0.464201,2.33559,2.0373,0.838974
0.562,-0.0359804,0.223228,-1.32125,0.486703,2.33863,2.06121,0.832443
0.564,-0.0365083,0.220114,-1.33871,0.50947,2.34169,2.08538,0.825671
0.566,-0.0370493,0.216971,-1.35643,0.532481,2.34476,2.1098,0.818689
