t,x,theta,u
0.445,-0.343047,1.02795,2.99177
0.446,-0.343546,1.03379,2.99378
0.447,-0.344043,1.03966,2.99575
0.448,-0.344538,1.04557,2.99768
0.449,-0.345031,1.0515,2.99956
0.45,-0.345523,1.05746,3.00141
0.451,-0.346013,1.06346,3.00321
0.452,-0.346502,1.06948,3.00496
0.453,-0.346989,1.07554,3.00668
0.454,-0.347474,1.08163,3.00836
0.455,-0.347957,1.08775,3.00999
0.456,-0.348439,1.0939,3.01159
0.457,-0.34892,1.10009,3.01314
0.458,-0.349398,1.1063,3.01466
0.459,-0.349876,1.11255,3.01613
0.46,-0.350352,1.11883,3.01757
0.461,-0.350826,1.12514,3.01896
0.462,-0.3513,1.13148,3.02031
0.463,-0.351771,1.13785,3.02163
0.464,-0.352242,1.14425,3.02291
0.465,-0.352711,1.15069,3.02415
0.466,-0.353179,1.15715,3.02535
0.467,-0.353646,1.16365,3.02651
0.468,-0.354111,1.17018,3.02763
0.469,-0.354575,1.17675,3.02872
0.47,-0.355039,1.18334,3.02977
0.471,-0.355501,1.18996,3.03078
0.472,-0.355962,1.19662,3.03175
0.473,-0.356422,1.20331,3.03269
0.474,-0.356881,1.21003,3.03358
0.475,-0.357339,1.21678,3.03445
0.476,-0.357796,1.22356,3.03527
0.477,-0.358252,1.23038,3.03606
0.478,-0.358707,1.23723,3.03682
0.479,-0.359162,1.24411,3.03754
0.48,-0.359615,1.25102,3.03822
0.481,-0.360068,1.25796,3.03887
0.482,-0.36052,1.26493,3.03948
0.483,-0.360972,1.27194,3.04006
0.484,-0.361423,1.27898,3.0406
0.485,-0.361873,1.28605,3.0411
0.486,-0.362323,1.29315,3.04158
0.487,-0.362772,1.30029,3.04202
0.488,-0.363221,1.30745,3.04242
0.489,-0.363669,1.31465,3.04279
0.49,-0.364117,1.32188,3.04313
0.491,-0.364564,1.32914,3.04343
0.492,-0.365011,1.33644,3.0437
0.493,-0.365458,1.34376,3.04393
0.494,-0.365904,1.35112,3.04414
0.495,-0.366351,1.35851,3.04431
0.496,-0.366797,1.36593,3.04445
0.497,-0.367243,1.37339,3.04455
0.498,-0.367688,1.38087,3.04462
0.499,-0.368134,1.38839,3.04466
0.5,-0.36858,1.39594,3.04467
0.501,-0.369025,1.40353,3.04465
0.502,-0.369471,1.41114,3.04459
0.503,-0.369917,1.41879,3.04451
0.504,-0.370363,1.42647,3.04439
0.505,-0.370809,1.43418,3.04424
0.506,-0.371255,1.44192,3.04406
0.507,-0.371702,1.4497,3.04385
0.508,-0.372148,1.45751,3.04361
0.509,-0.372596,1.46535,3.04333
0.51,-0.373043,1.47323,3.04303
0.511,-0.373491,1.48113,3.0427
0.512,-0.373939,1.48907,3.04233
0.513,-0.374388,1.49704,3.04194
0.514,-0.374837,1.50505,3.04152
0.515,-0.375287,1.51308,3.04107
0.516,-0.375738,1.52115,3.04058
0.517,-0.376189,1.52925,3.04007
0.518,-0.376641,1.53739,3.03953
0.519,-0.377094,1.54555,3.03896
0.52,-0.377547,1.55375,3.03837
0.521,-0.378001,1.56198,3.03774
0.522,-0.378456,1.57025,3.03709
0.523,-0.378912,1.57854,3.0364
0.524,-0.379369,1.58687,3.03569
0.525,-0.379827,1.59524,3.03495
0.526,-0.380286,1.60363,3.03418
0.527,-0.380746,1.61206,3.03339
0.528,-0.381207,1.62052,3.03257
0.529,-0.381669,1.62901,3.03172
0.53,-0.382132,1.63754,3.03084
0.531,-0.382597,1.6461,3.02994
0.532,-0.383063,1.65469,3.029
0.533,-0.38353,1.66332,3.02805
0.534,-0.383998,1.67198,3.02706
0.535,-0.384468,1.68067,3.02605
0.536,-0.38494,1.68939,3.02501
0.537,-0.385412,1.69815,3.02395
0.538,-0.385887,1.70694,3.02286
0.539,-0.386362,1.71576,3.02174
0.54,-0.38684,1.72462,3.0206
