t,x,theta,u
0.293,-0.357329,-0.0266236,2.82995
0.294,-0.358735,-0.0282222,2.84822
0.295,-0.360139,-0.0298123,2.86627
0.296,-0.36154,-0.0313941,2.88409
0.297,-0.362938,-0.0329676,2.90169
0.298,-0.364333,-0.0345327,2.91908
0.299,-0.365725,-0.0360894,2.93624
0.3,-0.367115,-0.0376378,2.95319
0.301,-0.368502,-0.0391778,2.96993
0.302,-0.369885,-0.0407095,2.98646
0.303,-0.371266,-0.0422328,3.00277
0.304,-0.372644,-0.0437478,3.01888
0.305,-0.374019,-0.0452545,3.03479
0.306,-0.375391,-0.0467529,3.05049
0.307,-0.37676,-0.0482429,3.06599
0.308,-0.378126,-0.0497247,3.08128
0.309,-0.379489,-0.0511981,3.09638
0.31,-0.380849,-0.0526632,3.11129
0.311,-0.382207,-0.0541201,3.126
0.312,-0.383561,-0.0555687,3.14051
0.313,-0.384912,-0.057009,3.15484
0.314,-0.38626,-0.0584411,3.16897
0.315,-0.387605,-0.0598649,3.18292
0.316,-0.388947,-0.0612805,3.19668
0.317,-0.390286,-0.0626878,3.21025
0.318,-0.391621,-0.064087,3.22365
0.319,-0.392954,-0.0654779,3.23686
0.32,-0.394284,-0.0668606,3.24989
0.321,-0.39561,-0.0682352,3.26274
0.322,-0.396933,-0.0696015,3.27542
0.323,-0.398254,-0.0709598,3.28792
0.324,-0.399571,-0.0723098,3.30025
0.325,-0.400884,-0.0736518,3.31241
0.326,-0.402195,-0.0749856,3.3244
0.327,-0.403503,-0.0763113,3.33621
0.328,-0.404807,-0.0776289,3.34786
0.329,-0.406108,-0.0789384,3.35935
0.33,-0.407406,-0.0802399,3.37067
0.331,-0.408701,-0.0815333,3.38183
0.332,-0.409992,-0.0828187,3.39282
0.333,-0.411281,-0.0840961,3.40366
0.334,-0.412566,-0.0853654,3.41434
0.335,-0.413848,-0.0866268,3.42485
0.336,-0.415126,-0.0878801,3.43522
0.337,-0.416401,-0.0891256,3.44543
0.338,-0.417673,-0.090363,3.45548
0.339,-0.418942,-0.0915926,3.46539
0.34,-0.420208,-0.0928142,3.47514
0.341,-0.42147,-0.094028,3.48474
0.342,-0.422729,-0.0952338,3.4942
0.343,-0.423984,-0.0964318,3.50351
0.344,-0.425236,-0.097622,3.51267
0.345,-0.426485,-0.0988043,3.52169
0.346,-0.427731,-0.0999788,3.53057
0.347,-0.428973,-0.101146,3.5393
0.348,-0.430212,-0.102305,3.5479
0.349,-0.431448,-0.103456,3.55635
0.35,-0.43268,-0.104599,3.56467
0.351,-0.433909,-0.105735,3.57285
0.352,-0.435134,-0.106863,3.58089
0.353,-0.436356,-0.107983,3.5888
0.354,-0.437575,-0.109096,3.59658
0.355,-0.438791,-0.110201,3.60422
0.356,-0.440003,-0.111299,3.61173
0.357,-0.441211,-0.112389,3.61912
0.358,-0.442416,-0.113471,3.62637
0.359,-0.443618,-0.114546,3.63349
0.36,-0.444817,-0.115613,3.64049
0.361,-0.446012,-0.116672,3.64736
0.362,-0.447203,-0.117724,3.65411
0.363,-0.448391,-0.118769,3.66073
0.364,-0.449576,-0.119806,3.66723
0.365,-0.450757,-0.120836,3.67361
0.366,-0.451935,-0.121858,3.67987
0.367,-0.45311,-0.122873,3.68601
0.368,-0.454281,-0.123881,3.69203
0.369,-0.455448,-0.124881,3.69793
0.37,-0.456612,-0.125874,3.70372
0.371,-0.457773,-0.12686,3.70939
0.372,-0.45893,-0.127838,3.71494
0.373,-0.460084,-0.128809,3.72038
0.374,-0.461234,-0.129773,3.72571
0.375,-0.462381,-0.130729,3.73093
0.376,-0.463524,-0.131679,3.73603
0.377,-0.464664,-0.132621,3.74102
0.378,-0.465801,-0.133556,3.74591
0.379,-0.466933,-0.134483,3.75068
0.38,-0.468063,-0.135404,3.75535
0.381,-0.469189,-0.136318,3.75992
0.382,-0.470311,-0.137224,3.76437
0.383,-0.47143,-0.138124,3.76872
0.384,-0.472546,-0.139016,3.77297
0.385,-0.473658,-0.139902,3.77711
0.386,-0.474766,-0.14078,3.78115
0.387,-0.475871,-0.141652,3.78509
0.388,-0.476973,-0.142516,3.78893
0.389,-0.478071,-0.143374,3.79267
0.39,-0.479165,-0.144225,3.79631
0.391,-0.480256,-0.145069,3.79985
0.392,-0.481343,-0.145906,3.80329
0.393,-0.482427,-0.146736,3.80664
0.394,-0.483508,-0.14756,3.80989
0.395,-0.484585,-0.148376,3.81304
