t,x,theta,u
0.324,-0.438611,-0.0717945,7.89598
0.325,-0.440608,-0.0743973,7.89598
0.326,-0.442598,-0.0769767,7.89598
0.327,-0.44458,-0.0795328,7.89598
0.328,-0.446554,-0.0820657,7.89598
0.329,-0.44852,-0.0845756,7.89598
0.33,-0.450479,-0.0870624,7.89598
0.331,-0.452429,-0.0895264,7.89598
0.332,-0.454372,-0.0919676,7.89598
0.333,-0.456308,-0.0943861,7.89598
0.334,-0.458235,-0.0967821,7.89598
0.335,-0.460155,-0.0991555,7.89598
0.336,-0.462067,-0.101507,7.89598
0.337,-0.463972,-0.103835,7.89598
0.338,-0.465868,-0.106142,7.89598
0.339,-0.467757,-0.108427,7.89598
0.34,-0.469638,-0.110689,7.89598
0.341,-0.471512,-0.11293,7.89598
0.342,-0.473378,-0.115149,7.89598
0.343,-0.475236,-0.117346,7.89598
0.344,-0.477087,-0.119522,7.89598
0.345,-0.47893,-0.121676,7.89598
0.346,-0.480765,-0.123809,7.89598
0.347,-0.482592,-0.12592,7.89598
0.348,-0.484412,-0.12801,7.89598
0.349,-0.486224,-0.130079,7.89598
0.35,-0.488029,-0.132127,7.89598
0.351,-0.489826,-0.134155,7.67156
0.352,-0.491615,-0.136162,7.67156
0.353,-0.493398,-0.138149,7.67156
0.354,-0.495172,-0.140117,7.67156
0.355,-0.49694,-0.142064,7.67156
0.356,-0.4987,-0.143992,7.67156
0.357,-0.500452,-0.1459,7.67156
0.358,-0.502197,-0.147788,7.67156
0.359,-0.503935,-0.149657,7.67156
0.36,-0.505666,-0.151506,7.67156
0.361,-0.507389,-0.153336,7.67156
0.362,-0.509104,-0.155147,7.67156
0.363,-0.510813,-0.156938,7.67156
0.364,-0.512514,-0.15871,7.67156
0.365,-0.514207,-0.160464,7.67156
0.366,-0.515893,-0.162198,7.67156
0.367,-0.517572,-0.163913,7.67156
0.368,-0.519244,-0.16561,7.67156
0.369,-0.520908,-0.167288,7.67156
0.37,-0.522565,-0.168947,7.67156
0.371,-0.524214,-0.170588,7.67156
0.372,-0.525857,-0.17221,7.67156
0.373,-0.527492,-0.173813,7.67156
0.374,-0.529119,-0.175399,7.67156
0.375,-0.530739,-0.176966,7.67156
0.376,-0.532352,-0.178514,7.67156
0.377,-0.533958,-0.180045,7.67156
0.378,-0.535556,-0.181557,7.67156
0.379,-0.537147,-0.183052,7.67156
0.38,-0.538731,-0.184528,7.67156
0.381,-0.540307,-0.185987,7.67156
0.382,-0.541877,-0.187427,7.67156
0.383,-0.543438,-0.18885,7.67156
0.384,-0.544993,-0.190256,7.67156
0.385,-0.54654,-0.191643,7.67156
0.386,-0.54808,-0.193013,7.67156
0.387,-0.549613,-0.194366,7.67156
0.388,-0.551139,-0.195701,7.67156
0.389,-0.552657,-0.197019,7.67156
0.39,-0.554168,-0.198319,7.67156
0.391,-0.555671,-0.199602,7.67156
0.392,-0.557168,-0.200868,7.67156
0.393,-0.558657,-0.202117,7.67156
0.394,-0.560139,-0.203348,7.67156
0.395,-0.561614,-0.204563,7.67156
0.396,-0.563081,-0.20576,7.67156
0.397,-0.564541,-0.206941,7.67156
0.398,-0.565994,-0.208105,7.67156
